start2024-03-08 12:28:16,071 - INFO - looking for the filepath
2024-03-12 15:03:22,275 - INFO - Filename without extension: uploads\sipoc_table2_2bae206b
2024-03-12 15:03:22,276 - INFO - Uploaded filepath: uploads\sipoc_table2_2bae206b.csv
2024-03-12 15:03:22,331 - INFO - output_presentation is saved successfully.
2024-03-12 15:03:22,331 - INFO - output_presentation path: uploads\sipoc_table2_2bae206b_decision-bubbles.pptx
2024-03-12 15:05:25,840 - INFO - looking for the filepath
2024-03-12 15:05:25,841 - INFO - Filename without extension: uploads\sipoc_table1_6d033494
2024-03-12 15:05:25,841 - INFO - Uploaded filepath: uploads\sipoc_table1_6d033494.csv
2024-03-12 15:05:25,883 - INFO - output_presentation is saved successfully.
2024-03-12 15:05:25,884 - INFO - output_presentation path: uploads\sipoc_table1_6d033494_decision-bubbles.pptx
2024-03-12 15:13:33,133 - INFO - looking for the filepath
2024-03-12 15:13:33,134 - INFO - Filename without extension: uploads\sipoc_table2_2ffe9dba
2024-03-12 15:13:33,134 - INFO - Uploaded filepath: uploads\sipoc_table2_2ffe9dba.csv
2024-03-12 15:13:33,178 - INFO - output_presentation is saved successfully.
2024-03-12 15:13:33,179 - INFO - output_presentation path: uploads\sipoc_table2_2ffe9dba_decision-bubbles.pptx
2024-03-13 11:36:36,903 - INFO - looking for the filepath
2024-03-13 11:36:36,916 - INFO - Filename without extension: uploads\sipoc_table2_4ec45c63
2024-03-13 11:36:36,917 - INFO - Uploaded filepath: uploads\sipoc_table2_4ec45c63.csv
2024-03-13 11:36:36,945 - INFO - output_presentation is saved successfully.
2024-03-13 11:36:36,945 - INFO - output_presentation path: uploads\sipoc_table2_4ec45c63_decision-bubbles.pptx
2024-03-13 12:42:20,602 - INFO - looking for the filepath
2024-03-13 12:42:20,608 - INFO - Filename without extension: uploads\sipoc_table2_45aa3d22
2024-03-13 12:42:20,609 - INFO - Uploaded filepath: uploads\sipoc_table2_45aa3d22.csv
2024-03-13 12:42:20,670 - INFO - output_presentation is saved successfully.
2024-03-13 12:42:20,670 - INFO - output_presentation path: uploads\sipoc_table2_45aa3d22_decision-bubbles.pptx
2024-03-13 12:44:38,869 - INFO - looking for the filepath
2024-03-13 12:44:38,870 - INFO - Filename without extension: uploads\sipoc_table2_9c4a6a16
2024-03-13 12:44:38,870 - INFO - Uploaded filepath: uploads\sipoc_table2_9c4a6a16.csv
2024-03-13 12:44:38,932 - INFO - output_presentation is saved successfully.
2024-03-13 12:44:38,933 - INFO - output_presentation path: uploads\sipoc_table2_9c4a6a16_decision-bubbles.pptx
2024-03-13 12:49:09,780 - INFO - looking for the filepath
2024-03-13 12:49:09,781 - INFO - Filename without extension: uploads\sipoc_table2_d3dd7c65
2024-03-13 12:49:09,781 - INFO - Uploaded filepath: uploads\sipoc_table2_d3dd7c65.csv
2024-03-13 12:49:09,827 - INFO - output_presentation is saved successfully.
2024-03-13 12:49:09,827 - INFO - output_presentation path: uploads\sipoc_table2_d3dd7c65_decision-bubbles.pptx
2024-03-13 12:56:14,499 - INFO - looking for the filepath
2024-03-13 12:56:14,500 - INFO - Filename without extension: uploads\sipoc_table2_0a00637e
2024-03-13 12:56:14,500 - INFO - Uploaded filepath: uploads\sipoc_table2_0a00637e.csv
2024-03-13 12:56:14,542 - INFO - output_presentation is saved successfully.
2024-03-13 12:56:14,543 - INFO - output_presentation path: uploads\sipoc_table2_0a00637e_decision-bubbles.pptx
2024-03-13 14:13:03,250 - INFO - looking for the filepath
2024-03-13 14:13:03,252 - INFO - Filename without extension: uploads\sipoc_table-Uni_70088622
2024-03-13 14:13:03,253 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_70088622.csv
2024-03-13 14:13:03,304 - INFO - output_presentation is saved successfully.
2024-03-13 14:13:03,305 - INFO - output_presentation path: uploads\sipoc_table-Uni_70088622_decision-bubbles.pptx
2024-03-15 09:29:12,722 - INFO - looking for the filepath
2024-03-15 09:29:12,729 - INFO - Filename without extension: uploads\sipoc_table2_5caa6570
2024-03-15 09:29:12,731 - INFO - Uploaded filepath: uploads\sipoc_table2_5caa6570.csv
2024-03-15 09:29:12,780 - INFO - output_presentation is saved successfully.
2024-03-15 09:29:12,780 - INFO - output_presentation path: uploads\sipoc_table2_5caa6570_decision-bubbles.pptx
2024-03-15 09:30:35,613 - INFO - looking for the filepath
2024-03-15 09:30:35,613 - INFO - Filename without extension: uploads\sipoc_table2_367af474
2024-03-15 09:30:35,613 - INFO - Uploaded filepath: uploads\sipoc_table2_367af474.csv
2024-03-15 09:30:35,654 - INFO - output_presentation is saved successfully.
2024-03-15 09:30:35,654 - INFO - output_presentation path: uploads\sipoc_table2_367af474_decision-bubbles.pptx
2024-03-15 09:31:20,091 - INFO - looking for the filepath
2024-03-15 09:31:20,096 - INFO - Filename without extension: uploads\sipoc_table1_9a6a8fed
2024-03-15 09:31:20,096 - INFO - Uploaded filepath: uploads\sipoc_table1_9a6a8fed.csv
2024-03-15 09:31:20,131 - INFO - output_presentation is saved successfully.
2024-03-15 09:31:20,131 - INFO - output_presentation path: uploads\sipoc_table1_9a6a8fed_decision-bubbles.pptx
2024-03-15 09:36:00,297 - INFO - looking for the filepath
2024-03-15 09:36:00,297 - INFO - Filename without extension: uploads\sipoc_table2_8ec01029
2024-03-15 09:36:00,297 - INFO - Uploaded filepath: uploads\sipoc_table2_8ec01029.csv
2024-03-15 09:36:00,340 - INFO - output_presentation is saved successfully.
2024-03-15 09:36:00,340 - INFO - output_presentation path: uploads\sipoc_table2_8ec01029_decision-bubbles.pptx
2024-03-15 10:03:07,230 - INFO - looking for the filepath
2024-03-15 10:03:07,230 - INFO - Filename without extension: uploads\sipoc_table2_884686ed
2024-03-15 10:03:07,238 - INFO - Uploaded filepath: uploads\sipoc_table2_884686ed.csv
2024-03-15 10:03:07,296 - INFO - output_presentation is saved successfully.
2024-03-15 10:03:07,296 - INFO - output_presentation path: uploads\sipoc_table2_884686ed_decision-bubbles.pptx
2024-03-15 10:14:09,931 - INFO - looking for the filepath
2024-03-15 10:14:09,931 - INFO - Filename without extension: uploads\sipoc_table1_24a4ba55
2024-03-15 10:14:09,931 - INFO - Uploaded filepath: uploads\sipoc_table1_24a4ba55.csv
2024-03-15 10:14:09,998 - INFO - output_presentation is saved successfully.
2024-03-15 10:14:09,998 - INFO - output_presentation path: uploads\sipoc_table1_24a4ba55_decision-bubbles.pptx
2024-03-15 10:26:14,819 - INFO - looking for the filepath
2024-03-15 10:26:14,819 - INFO - Filename without extension: uploads\sipoc_table2_952e3b21
2024-03-15 10:26:14,819 - INFO - Uploaded filepath: uploads\sipoc_table2_952e3b21.csv
2024-03-15 10:26:14,860 - INFO - output_presentation is saved successfully.
2024-03-15 10:26:14,860 - INFO - output_presentation path: uploads\sipoc_table2_952e3b21_decision-bubbles.pptx
2024-03-18 11:59:07,748 - INFO - looking for the filepath
2024-03-18 11:59:07,764 - INFO - Filename without extension: uploads\sipoc_table_997af487
2024-03-18 11:59:07,764 - INFO - Uploaded filepath: uploads\sipoc_table_997af487.csv
2024-03-18 11:59:07,810 - INFO - output_presentation is saved successfully.
2024-03-18 11:59:07,810 - INFO - output_presentation path: uploads\sipoc_table_997af487_decision-bubbles.pptx
2024-03-18 12:19:58,149 - INFO - looking for the filepath
2024-03-18 12:19:58,149 - INFO - Filename without extension: uploads\sipoc_table_6b0746af
2024-03-18 12:19:58,149 - INFO - Uploaded filepath: uploads\sipoc_table_6b0746af.csv
2024-03-18 12:19:58,212 - INFO - output_presentation is saved successfully.
2024-03-18 12:19:58,212 - INFO - output_presentation path: uploads\sipoc_table_6b0746af_decision-bubbles.pptx
2024-03-18 12:21:54,836 - INFO - looking for the filepath
2024-03-18 12:21:54,836 - INFO - Filename without extension: uploads\sipoc_table-Uni_6e449d53
2024-03-18 12:21:54,836 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_6e449d53.csv
2024-03-18 12:21:54,870 - INFO - output_presentation is saved successfully.
2024-03-18 12:21:54,870 - INFO - output_presentation path: uploads\sipoc_table-Uni_6e449d53_decision-bubbles.pptx
2024-03-18 12:41:44,437 - INFO - looking for the filepath
2024-03-18 12:41:44,437 - INFO - Filename without extension: uploads\sipoc_table-Uni_42451f20
2024-03-18 12:41:44,439 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_42451f20.csv
2024-03-18 12:41:44,472 - INFO - output_presentation is saved successfully.
2024-03-18 12:41:44,472 - INFO - output_presentation path: uploads\sipoc_table-Uni_42451f20_decision-bubbles.pptx
2024-03-18 12:45:28,799 - INFO - looking for the filepath
2024-03-18 12:45:28,799 - INFO - Filename without extension: uploads\sipoc_table-Uni_1a94cf08
2024-03-18 12:45:28,799 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_1a94cf08.csv
2024-03-18 12:45:28,863 - INFO - output_presentation is saved successfully.
2024-03-18 12:45:28,863 - INFO - output_presentation path: uploads\sipoc_table-Uni_1a94cf08_decision-bubbles.pptx
2024-03-18 12:54:51,171 - INFO - looking for the filepath
2024-03-18 12:54:51,171 - INFO - Filename without extension: uploads\sipoc_table-Uni_a3a419d2
2024-03-18 12:54:51,171 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_a3a419d2.csv
2024-03-18 12:54:51,209 - INFO - output_presentation is saved successfully.
2024-03-18 12:54:51,209 - INFO - output_presentation path: uploads\sipoc_table-Uni_a3a419d2_decision-bubbles.pptx
2024-03-18 13:16:05,719 - INFO - looking for the filepath
2024-03-18 13:16:05,723 - INFO - Filename without extension: uploads\sipoc_table-Uni_43ea8e69
2024-03-18 13:16:05,723 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_43ea8e69.csv
2024-03-18 13:16:05,773 - INFO - output_presentation is saved successfully.
2024-03-18 13:16:05,773 - INFO - output_presentation path: uploads\sipoc_table-Uni_43ea8e69_decision-bubbles.pptx
2024-03-18 13:28:17,818 - INFO - looking for the filepath
2024-03-18 13:28:17,818 - INFO - Filename without extension: uploads\sipoc_table-Uni_9786f3dc
2024-03-18 13:28:17,818 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_9786f3dc.csv
2024-03-18 13:28:17,866 - INFO - output_presentation is saved successfully.
2024-03-18 13:28:17,866 - INFO - output_presentation path: uploads\sipoc_table-Uni_9786f3dc_decision-bubbles.pptx
2024-03-18 13:29:31,410 - INFO - looking for the filepath
2024-03-18 13:29:31,410 - INFO - Filename without extension: uploads\sipoc_table-Uni_6d6c5677
2024-03-18 13:29:31,410 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_6d6c5677.csv
2024-03-18 13:29:31,459 - INFO - output_presentation is saved successfully.
2024-03-18 13:29:31,459 - INFO - output_presentation path: uploads\sipoc_table-Uni_6d6c5677_decision-bubbles.pptx
2024-03-18 13:33:01,057 - INFO - looking for the filepath
2024-03-18 13:33:01,057 - INFO - Filename without extension: uploads\sipoc_table-Uni_09943962
2024-03-18 13:33:01,057 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_09943962.csv
2024-03-18 13:33:01,090 - INFO - output_presentation is saved successfully.
2024-03-18 13:33:01,090 - INFO - output_presentation path: uploads\sipoc_table-Uni_09943962_decision-bubbles.pptx
2024-03-18 13:36:54,109 - INFO - looking for the filepath
2024-03-18 13:36:54,109 - INFO - Filename without extension: uploads\sipoc_table-Uni - Copy_12ba106f
2024-03-18 13:36:54,109 - INFO - Uploaded filepath: uploads\sipoc_table-Uni - Copy_12ba106f.csv
2024-03-18 13:36:54,191 - INFO - output_presentation is saved successfully.
2024-03-18 13:36:54,192 - INFO - output_presentation path: uploads\sipoc_table-Uni - Copy_12ba106f_decision-bubbles.pptx
2024-03-18 16:34:06,957 - INFO - looking for the filepath
2024-03-18 16:34:06,957 - INFO - Filename without extension: sipoc_table_f39da519
2024-03-18 16:34:06,957 - INFO - Uploaded filepath: sipoc_table_f39da519.csv
2024-03-18 16:34:07,020 - INFO - output_presentation is saved successfully.
2024-03-18 16:34:07,020 - INFO - output_presentation path: sipoc_table_f39da519_decision-bubbles.pptx
2024-03-18 16:58:50,496 - INFO - looking for the filepath
2024-03-18 16:58:50,500 - INFO - Filename without extension: uploads\sipoc_table-Uni_1948faaa
2024-03-18 16:58:50,501 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_1948faaa.csv
2024-03-18 16:58:50,534 - INFO - output_presentation is saved successfully.
2024-03-18 16:58:50,534 - INFO - output_presentation path: uploads\sipoc_table-Uni_1948faaa_decision-bubbles.pptx
2024-03-18 17:20:22,495 - INFO - looking for the filepath
2024-03-18 17:20:22,495 - INFO - Filename without extension: uploads\sipoc_table-Uni_9ca2d1d6
2024-03-18 17:20:22,495 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_9ca2d1d6.csv
2024-03-18 17:20:22,558 - INFO - output_presentation is saved successfully.
2024-03-18 17:20:22,558 - INFO - output_presentation path: uploads\sipoc_table-Uni_9ca2d1d6_decision-bubbles.pptx
2024-03-18 17:24:10,490 - INFO - looking for the filepath
2024-03-18 17:24:10,490 - INFO - Filename without extension: uploads\sipoc_table-Uni_d0a2427f
2024-03-18 17:24:10,490 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_d0a2427f.csv
2024-03-18 17:24:10,525 - INFO - output_presentation is saved successfully.
2024-03-18 17:24:10,525 - INFO - output_presentation path: uploads\sipoc_table-Uni_d0a2427f_decision-bubbles.pptx
2024-03-18 17:26:57,200 - INFO - looking for the filepath
2024-03-18 17:26:57,200 - INFO - Filename without extension: uploads\sipoc_table-Uni_4f63b770
2024-03-18 17:26:57,200 - INFO - Uploaded filepath: uploads\sipoc_table-Uni_4f63b770.csv
2024-03-18 17:26:57,240 - INFO - output_presentation is saved successfully.
2024-03-18 17:26:57,240 - INFO - output_presentation path: uploads\sipoc_table-Uni_4f63b770_decision-bubbles.pptx
2024-03-18 17:28:53,917 - INFO - looking for the filepath
2024-03-18 17:28:53,917 - INFO - Filename without extension: uploads\sipoc_table-Uni_7a6de215
